ezloophw-py logger started on:,2026-3-5_141727,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1022.,1022,1022,1022.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
51452677,1.501000,0.000000,0.000000,1028.18,1028.5,1029.71,1030.63,-0.01,0.0,1400.57,649.7091076553450,672.5296799480680,0.27757340585492000,646.2831970416190,330.1879779798790,2.4039136526982200,644.0382067353250,40.724301045216200,-0.2987800424589080,0.5733559945465740,-0.702352641411984
51452777,1.600000,0.000000,0.000000,1028.18,1028.53,1029.77,1030.73,-0.02,0.0,1400.65,649.6828306934980,672.5450627776130,0.3019717151462320,646.193979362061,330.2112541831590,2.537650059202680,644.335040984671,40.71878337359690,-0.51547224058761,0.5839024115241420,-0.7998924583409940
51452877,1.699000,0.000000,0.000000,1028.11,1028.41,1029.68,1030.59,-0.02,0.0,1400.61,649.7494220882450,672.6080933630980,0.26506062084375100,646.1489457462410,330.12381364750500,2.570961406916860,644.09400760467,40.64764339448190,-0.2696636195445130,0.602318154710588,-0.7979109306910690
51452977,1.800000,0.000000,0.000000,1028.23,1028.54,1029.74,1030.6,-0.02,0.0,1400.67,649.7407247408610,672.5861225051230,0.3190802539131010,646.5037156158550,330.18539964878900,2.5259120805431300,643.9884768194610,40.65799804860300,-0.23144409183254100,0.5416502466942720,-0.5855619669583160
51453078,1.899000,0.000000,0.000000,1028.21,1028.58,1029.72,1030.56,-0.02,0.0,1400.63,649.6997227009870,672.5562760210090,0.30471635128204300,646.5549061665860,330.19273993135400,2.4513340074636900,644.1773805918130,40.71903370202560,-0.2968670918954030,0.5262816518431800,-0.5819882040182420
51453177,1.999000,0.000000,0.000000,1028.13,1028.52,1029.73,1030.59,-0.02,0.0,1400.67,649.7262313398320,672.5976883734030,0.31019764871820400,646.51304045625,330.13258438970800,2.541444283776400,644.2795747359490,40.704626434681200,-0.3772009863058450,0.5375638926357020,-0.6329948955824570
51453277,2.100000,0.000000,0.000000,1028.1,1028.5,1029.75,1030.59,-0.02,0.0,1400.66,649.6809006718100,672.538577679631,0.3161403420163140,646.4751737185040,330.17724660850300,2.519938120149500,644.4864224579020,40.65049391663660,-0.5240985182602240,0.5364778096150630,-0.6793986832572230
51453377,2.200000,0.000000,0.000000,1028.12,1028.49,1029.71,1030.6,-0.02,0.0,1400.66,649.738982067556,672.5834341120820,0.30921552259677800,646.2671400638680,330.2265792134400,2.39980762162557,644.3081473047710,40.720015115128900,-0.45564203333527100,0.5810167738224240,-0.7743383515505040
51453477,2.300000,0.000000,0.000000,1028.14,1028.47,1029.72,1030.54,-0.02,0.0,1400.6,649.7551004290060,672.6034213605640,0.31374730609683,646.2877349692700,330.2088541976000,2.335483494342900,644.3171234843020,40.70950460575630,-0.4611298614439550,0.580203762391576,-0.7704032725940430
51453577,2.400000,0.000000,0.000000,1028.21,1028.56,1029.72,1030.57,-0.02,0.0,1400.69,649.6855198364950,672.5245741182130,0.29162864803180800,646.2916415389210,330.1991406754470,2.3666357284850100,644.355964491542,40.639527329719200,-0.4767993325053500,0.5680224515896380,-0.7530340543095050
51453678,2.501000,0.000000,0.000000,1028.16,1028.51,1029.78,1030.56,-0.02,0.0,1400.7,649.7425511669460,672.5814659303870,0.2998571949178720,646.1807114906800,330.1956026024900,2.3619508419685900,644.1821972948790,40.71217703738130,-0.34915040202830600,0.5960264167957630,-0.7965047659782570
